txn_id,amount,date,merchant_name,customer_ref
TXN1119,8670,2026-09-08,Swiggy Pvt Ltd,ORD5295
TXN1120,9420,2026-09-04,Uber,ORD7086
TXN1121,7810,2026-09-04,Uber,ORD2775
TXN1122,8030,2026-09-04,Uber,ORD4830
TXN1123,6230,2026-09-01,Nykaa,ORD6374
TXN1124,3370,2026-09-01,Nykaa,ORD4626
TXN1125,5070,2026-09-01,Nykaa,ORD2035
TXN1126,9180,2026-09-04,PVR Cinemas,ORD5951
TXN1127,1350,2026-09-04,PVR Cinemas,ORD7689
TXN1128,3320,2026-09-04,PVR Cinemas,ORD2911
TXN1129,7330,2026-09-01,Amazon Marketplace India,ORD1609
TXN1130,7530,2026-09-01,Amazon Marketplace India,ORD5986
TXN1131,4670,2026-09-01,Amazon Marketplace India,ORD9071
