case_ref,transaction_ids,settlement_ids,refund_ids,fee_ids,match_method,evidence,confidence,decision,reasoning,audit_trail
REC0013,TXN1013,SET2013,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0014,TXN1014,SET2014,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0015,TXN1015,SET2015,,,layer1_exact,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,100.0,AUTO_MATCHED,Resolved by Layer 1: unique exact amount+merchant+date match.,Layer 1: Unique exact amount+merchant+date-window match.
REC0016,TXN1016,SET2016,,,layer5_agent,"No exact amount+merchant match within date window; inspect_transaction: {'txn_id': 'TXN1016', 'amount': 9710.0, 'date': '2026-09-02', 'merchant_name': 'BookMyShow', 'customer_ref': 'ORD9922'}; search_candidate_records: {'candidates': [{'settlement_id': 'SET2016', 'amount': 9710.0, 'date': '2026-09-04', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}]}; inspect_settlement: {'settlement_id': 'SET2016', 'amount': 9710.0, 'date': '2026-09-04', 'merchant_name': 'Bigtree Entertainment (BMS)'}; compare_merchant_names: {'similarity_0_to_100': 100.0}; verify_candidate_relationship: {'transaction_total': 9710.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 9710.0, 'actual_settlement_total': 9710.0, 'difference': 0.0, 'balances_within_tolerance': True}; check_date_difference: {'days_between': 2}",80.0,AUTO_MATCHED,"Transaction TXN1016 for 9710 with merchant BookMyShow on 2026-09-02 matches settlement SET2016 for 9710 with Bigtree Entertainment (BMS) on 2026-09-04. The merchant name comparison confirms Bigtree Entertainment (BMS) is the parent/operating company for BookMyShow (100% text/entity similarity or known alias). verify_candidate_relationship confirms the amounts match exactly with zero difference, and the 2-day settlement lag is standard.","Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 5: Tool: inspect_transaction({'txn_id': 'TXN1016'}) -> {'txn_id': 'TXN1016', 'amount': 9710.0, 'date': '2026-09-02', 'merchant_name': 'BookMyShow', 'customer_ref': 'ORD9922'} | Layer 5: Tool: search_candidate_records({'amount': 9710, 'merchant': 'BookMyShow'}) -> {'candidates': [{'settlement_id': 'SET2016', 'amount': 9710.0, 'date': '2026-09-04', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}]} | Layer 5: Tool: inspect_settlement({'settlement_id': 'SET2016'}) -> {'settlement_id': 'SET2016', 'amount': 9710.0, 'date': '2026-09-04', 'merchant_name': 'Bigtree Entertainment (BMS)'} | Layer 5: Tool: compare_merchant_names({'name_a': 'BookMyShow', 'name_b': 'Bigtree Entertainment (BMS)'}) -> {'similarity_0_to_100': 100.0} | Layer 5: Tool: verify_candidate_relationship({'settlement_ids': ['SET2016'], 'txn_ids': ['TXN1016']}) -> {'transaction_total': 9710.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 9710.0, 'actual_settlement_total': 9710.0, 'difference': 0.0, 'balances_within_tolerance': True} | Layer 5: Tool: check_date_difference({'date_a': '2026-09-02', 'date_b': '2026-09-04'}) -> {'days_between': 2} | Layer 5: Self-critique: - Could another candidate be equally valid? No other candidate matches this amount and merchant.
- Does the amount arithmetic actually work according to the verification tools? Yes, verify_candidate_relationship reports balances_within_tolerance=true with 0 difference.
- Did you check whether a grou | Layer 5: Final: AUTO_MATCHED"
REC0017,TXN1017,SET2017,,,layer5_agent,"No exact amount+merchant match within date window; inspect_transaction: {'txn_id': 'TXN1017', 'amount': 8070.0, 'date': '2026-09-03', 'merchant_name': 'Ola', 'customer_ref': 'ORD5352'}; search_candidate_records: {'candidates': [{'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2025', 'amount': 6770.0, 'date': '2026-09-04', 'merchant_name': 'AMZN Mktp IN'}, {'settlement_id': 'SET2066', 'amount': 8720.0, 'date': '2026-09-10', 'merchant_name': 'PVR Cinemas'}, {'settlement_id': 'SET2069', 'amount': 9490.0, 'date': '2026-09-04', 'merchant_name': 'PVR Cinemas'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}, {'settlement_id': 'SET2076', 'amount': 8250.0, 'date': '2026-09-07', 'merchant_name': 'PVR Cinemas'}]}; inspect_settlement: {'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}; inspect_fee: {'fees': []}; inspect_refund: {'refund': None}; verify_candidate_relationship: {'transaction_total': 8070.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 8070.0, 'actual_settlement_total': 8070.0, 'difference': 0.0, 'balances_within_tolerance': True}; check_date_difference: {'days_between': 2}; compare_merchant_names: {'similarity_0_to_100': 100.0}",80.0,AUTO_MATCHED,"Transaction TXN1017 (amount 8070, merchant Ola, date 2026-09-03) matches settlement SET2017 (amount 8070, merchant ANI Technologies (Ola), date 2026-09-05). Merchant name comparison gives 100% similarity (ANI Technologies (Ola)). Settlement date is 2 days after the transaction date, which is standard. Verification tool confirms exact balance with no fees or refunds.","Layer 1: No unique deterministic candidate found. | Layer 2: 2 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 5: Tool: inspect_transaction({'txn_id': 'TXN1017'}) -> {'txn_id': 'TXN1017', 'amount': 8070.0, 'date': '2026-09-03', 'merchant_name': 'Ola', 'customer_ref': 'ORD5352'} | Layer 5: Tool: search_candidate_records({'amount': 8070, 'merchant': 'Ola'}) -> {'candidates': [{'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2025', 'amount': 6770.0, 'date': '2026-09-04', 'merchant_name': 'AMZN Mktp IN'}, {'settlement_id': 'SET2066', 'amount': 8720.0, 'date': '2026-09-10', 'merchant_name': 'PVR Cinemas'}, {'settlement_id': 'SET2069', 'amount': 9490.0, 'date': '2026-09-04', 'merchant_name': 'PVR Cinemas'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}, {'settlement_id': 'SET2076', 'amount': 8250.0, 'date': '2026-09-07', 'merchant_name': 'PVR Cinemas'}]} | Layer 5: Tool: inspect_settlement({'settlement_id': 'SET2017'}) -> {'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'} | Layer 5: Tool: inspect_fee({'txn_id': 'TXN1017'}) -> {'fees': []} | Layer 5: Tool: inspect_refund({'txn_id': 'TXN1017'}) -> {'refund': None} | Layer 5: Tool: verify_candidate_relationship({'txn_ids': ['TXN1017'], 'settlement_ids': ['SET2017']}) -> {'transaction_total': 8070.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 8070.0, 'actual_settlement_total': 8070.0, 'difference': 0.0, 'balances_within_tolerance': True} | Layer 5: Tool: check_date_difference({'date_a': '2026-09-03', 'date_b': '2026-09-05'}) -> {'days_between': 2} | Layer 5: Tool: compare_merchant_names({'name_b': 'ANI Technologies (Ola)', 'name_a': 'Ola'}) -> {'similarity_0_to_100': 100.0} | Layer 5: Self-critique: - Could another candidate be equally valid? No, SET2071 was checked in candidates and is 7840 on 2026-09-03, whereas SET2017 is an exact amount match (8070).
- Does the amount arithmetic actually work according to the verification tools? Yes, verified with verify_candidate_relationship showing 0 dif | Layer 5: Final: AUTO_MATCHED"
REC0018,TXN1018,SET2018,,,layer3_fuzzy,No exact amount+merchant match within date window; Merchant name similarity 100.00; Amount within tight tolerance,87,AUTO_MATCHED,"Unique fuzzy match: name similarity 100.00, amount closely matches.","Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: Unique fuzzy match: name similarity 100.00, amount closely matches."
REC0019,TXN1019,SET2019,,,layer3_fuzzy,No exact amount+merchant match within date window; Merchant name similarity 100.00; Amount within tight tolerance,87,AUTO_MATCHED,"Unique fuzzy match: name similarity 100.00, amount closely matches.","Layer 1: No unique deterministic candidate found. | Layer 2: 2 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: Unique fuzzy match: name similarity 100.00, amount closely matches."
REC0020,TXN1020,SET2020,,,layer3_fuzzy,No exact amount+merchant match within date window; Merchant name similarity 100.00; Amount within tight tolerance,87,AUTO_MATCHED,"Unique fuzzy match: name similarity 100.00, amount closely matches.","Layer 1: No unique deterministic candidate found. | Layer 2: 2 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: Unique fuzzy match: name similarity 100.00, amount closely matches."
REC0021,TXN1021,SET2021,,,layer3_fuzzy,No exact amount+merchant match within date window; Merchant name similarity 100.00; Amount within tight tolerance,87,AUTO_MATCHED,"Unique fuzzy match: name similarity 100.00, amount closely matches.","Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: Unique fuzzy match: name similarity 100.00, amount closely matches."
REC0022,TXN1022,SET2022,,,layer3_fuzzy,No exact amount+merchant match within date window; Merchant name similarity 100.00; Amount within tight tolerance,87,AUTO_MATCHED,"Unique fuzzy match: name similarity 100.00, amount closely matches.","Layer 1: No unique deterministic candidate found. | Layer 2: 2 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: Unique fuzzy match: name similarity 100.00, amount closely matches."
REC0023,TXN1023,SET2023,,,layer3_fuzzy,No exact amount+merchant match within date window; Merchant name similarity 100.00; Amount within tight tolerance,87,AUTO_MATCHED,"Unique fuzzy match: name similarity 100.00, amount closely matches.","Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: Unique fuzzy match: name similarity 100.00, amount closely matches."
REC0024,TXN1024,SET2024,,,layer5_agent,"No exact amount+merchant match within date window; inspect_transaction: {'txn_id': 'TXN1024', 'amount': 7790.0, 'date': '2026-09-06', 'merchant_name': 'BookMyShow', 'customer_ref': 'ORD5102'}; search_candidate_records: {'candidates': [{'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}]}; inspect_settlement: {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'}; compare_merchant_names: {'similarity_0_to_100': 100.0}; check_date_difference: {'days_between': 2}; inspect_fee: {'fees': []}; inspect_refund: {'refund': None}; verify_candidate_relationship: {'transaction_total': 7790.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 7790.0, 'actual_settlement_total': 7790.0, 'difference': 0.0, 'balances_within_tolerance': True}",80.0,AUTO_MATCHED,"Transaction TXN1024 (BookMyShow, amount 7790, date 2026-09-06) matches settlement SET2024 (Bigtree Entertainment (BMS), amount 7790, date 2026-09-08). Bigtree Entertainment (BMS) is the corporate entity / parent name for BookMyShow (100% merchant name similarity score). The settlement date is 2 days after the transaction date, which is a standard settlement window. Verification confirms that the settlement total equals the transaction amount with zero difference and no conflicting fees or refunds.","Layer 1: No unique deterministic candidate found. | Layer 2: 2 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 5: Tool: inspect_transaction({'txn_id': 'TXN1024'}) -> {'txn_id': 'TXN1024', 'amount': 7790.0, 'date': '2026-09-06', 'merchant_name': 'BookMyShow', 'customer_ref': 'ORD5102'} | Layer 5: Tool: search_candidate_records({'merchant': 'BookMyShow', 'amount': 7790}) -> {'candidates': [{'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}]} | Layer 5: Tool: inspect_settlement({'settlement_id': 'SET2024'}) -> {'settlement_id': 'SET2024', 'amount': 7790.0, 'date': '2026-09-08', 'merchant_name': 'Bigtree Entertainment (BMS)'} | Layer 5: Tool: compare_merchant_names({'name_a': 'BookMyShow', 'name_b': 'Bigtree Entertainment (BMS)'}) -> {'similarity_0_to_100': 100.0} | Layer 5: Tool: check_date_difference({'date_b': '2026-09-08', 'date_a': '2026-09-06'}) -> {'days_between': 2} | Layer 5: Tool: inspect_fee({'txn_id': 'TXN1024'}) -> {'fees': []} | Layer 5: Tool: inspect_refund({'txn_id': 'TXN1024'}) -> {'refund': None} | Layer 5: Tool: verify_candidate_relationship({'settlement_ids': ['SET2024'], 'txn_ids': ['TXN1024']}) -> {'transaction_total': 7790.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 7790.0, 'actual_settlement_total': 7790.0, 'difference': 0.0, 'balances_within_tolerance': True} | Layer 5: Self-critique: - Could another candidate be equally valid? No, only one settlement matched the exact amount of 7790.
- Does the amount arithmetic actually work according to the verification tools? Yes, verified with verify_candidate_relationship (difference = 0).
- Did you check whether a group of settlements coul | Layer 5: Final: AUTO_MATCHED"
REC0025,TXN1025,SET2025,,,layer5_agent,"No exact amount+merchant match within date window; inspect_transaction: {'txn_id': 'TXN1025', 'amount': 6770.0, 'date': '2026-09-02', 'merchant_name': 'Amazon Marketplace India', 'customer_ref': 'ORD4750'}; search_candidate_records: {'candidates': [{'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2025', 'amount': 6770.0, 'date': '2026-09-04', 'merchant_name': 'AMZN Mktp IN'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}, {'settlement_id': 'SET2081', 'amount': 6790.0, 'date': '2026-09-10', 'merchant_name': 'Unknown Merchant 39'}]}; inspect_settlement: {'settlement_id': 'SET2025', 'amount': 6770.0, 'date': '2026-09-04', 'merchant_name': 'AMZN Mktp IN'}; compare_merchant_names: {'similarity_0_to_100': 100.0}; check_date_difference: {'days_between': 2}; verify_candidate_relationship: {'transaction_total': 6770.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 6770.0, 'actual_settlement_total': 6770.0, 'difference': 0.0, 'balances_within_tolerance': True}",80.0,AUTO_MATCHED,"Transaction TXN1025 ($6,770.00, Amazon Marketplace India) perfectly matches settlement SET2025 ($6,770.00, AMZN Mktp IN, 2 days later on 2026-09-04). Verification confirms the amounts match exactly with zero difference, no fees, and no refunds. Merchant name similarity is 100%.","Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 5: Tool: inspect_transaction({'txn_id': 'TXN1025'}) -> {'txn_id': 'TXN1025', 'amount': 6770.0, 'date': '2026-09-02', 'merchant_name': 'Amazon Marketplace India', 'customer_ref': 'ORD4750'} | Layer 5: Tool: search_candidate_records({'merchant': 'Amazon Marketplace India', 'amount': 6770}) -> {'candidates': [{'settlement_id': 'SET2017', 'amount': 8070.0, 'date': '2026-09-05', 'merchant_name': 'ANI Technologies (Ola)'}, {'settlement_id': 'SET2025', 'amount': 6770.0, 'date': '2026-09-04', 'merchant_name': 'AMZN Mktp IN'}, {'settlement_id': 'SET2071', 'amount': 7840.0, 'date': '2026-09-03', 'merchant_name': 'Ola'}, {'settlement_id': 'SET2081', 'amount': 6790.0, 'date': '2026-09-10', 'merchant_name': 'Unknown Merchant 39'}]} | Layer 5: Tool: inspect_settlement({'settlement_id': 'SET2025'}) -> {'settlement_id': 'SET2025', 'amount': 6770.0, 'date': '2026-09-04', 'merchant_name': 'AMZN Mktp IN'} | Layer 5: Tool: compare_merchant_names({'name_a': 'Amazon Marketplace India', 'name_b': 'AMZN Mktp IN'}) -> {'similarity_0_to_100': 100.0} | Layer 5: Tool: check_date_difference({'date_b': '2026-09-04', 'date_a': '2026-09-02'}) -> {'days_between': 2} | Layer 5: Tool: verify_candidate_relationship({'settlement_ids': ['SET2025'], 'txn_ids': ['TXN1025']}) -> {'transaction_total': 6770.0, 'fees_applied': [], 'refunds_applied': [], 'net_expected_settlement': 6770.0, 'actual_settlement_total': 6770.0, 'difference': 0.0, 'balances_within_tolerance': True} | Layer 5: Self-critique: - Could another candidate be equally valid? No, only SET2025 matches the exact amount and merchant.
- Does the amount arithmetic actually work according to the verification tools? Yes, verified with verify_candidate_relationship (difference: 0).
- Did you check whether a group of settlements could e | Layer 5: Final: AUTO_MATCHED"
REC0132,TXN1026;TXN1027;TXN1028,SET2026,,FEE4001,layer4_many_to_one,3 transactions minus fee FEE4001 (427.8) sum to settlement amount,97,AUTO_MATCHED,3 transactions minus fee FEE4001 (427.8) sum to settlement amount,Layer 4 (many-to-one): 3 transactions minus fee FEE4001 (427.8) sum to settlement amount
REC0133,TXN1029;TXN1030;TXN1031,SET2027,,FEE4002,layer4_many_to_one,3 transactions minus fee FEE4002 (478.6) sum to settlement amount,97,AUTO_MATCHED,3 transactions minus fee FEE4002 (478.6) sum to settlement amount,Layer 4 (many-to-one): 3 transactions minus fee FEE4002 (478.6) sum to settlement amount
REC0134,TXN1032;TXN1033;TXN1034,SET2028,,FEE4003,layer4_many_to_one,3 transactions minus fee FEE4003 (401.0) sum to settlement amount,97,AUTO_MATCHED,3 transactions minus fee FEE4003 (401.0) sum to settlement amount,Layer 4 (many-to-one): 3 transactions minus fee FEE4003 (401.0) sum to settlement amount
REC0135,TXN1035;TXN1036,SET2029,,FEE4004,layer4_many_to_one,2 transactions minus fee FEE4004 (250.2) sum to settlement amount,97,AUTO_MATCHED,2 transactions minus fee FEE4004 (250.2) sum to settlement amount,Layer 4 (many-to-one): 2 transactions minus fee FEE4004 (250.2) sum to settlement amount
REC0136,TXN1037;TXN1038;TXN1039,SET2030,,FEE4005,layer4_many_to_one,3 transactions minus fee FEE4005 (326.4) sum to settlement amount,97,AUTO_MATCHED,3 transactions minus fee FEE4005 (326.4) sum to settlement amount,Layer 4 (many-to-one): 3 transactions minus fee FEE4005 (326.4) sum to settlement amount
REC0137,TXN1040;TXN1041;TXN1042,SET2031,,FEE4006,layer4_many_to_one,3 transactions minus fee FEE4006 (394.8) sum to settlement amount,97,AUTO_MATCHED,3 transactions minus fee FEE4006 (394.8) sum to settlement amount,Layer 4 (many-to-one): 3 transactions minus fee FEE4006 (394.8) sum to settlement amount
REC0138,TXN1043;TXN1044;TXN1045,SET2032,,FEE4007,layer4_many_to_one,3 transactions minus fee FEE4007 (204.4) sum to settlement amount,97,AUTO_MATCHED,3 transactions minus fee FEE4007 (204.4) sum to settlement amount,Layer 4 (many-to-one): 3 transactions minus fee FEE4007 (204.4) sum to settlement amount
REC0139,TXN1046;TXN1047;TXN1048,SET2033,,FEE4008,layer4_many_to_one,3 transactions minus fee FEE4008 (155.8) sum to settlement amount,97,AUTO_MATCHED,3 transactions minus fee FEE4008 (155.8) sum to settlement amount,Layer 4 (many-to-one): 3 transactions minus fee FEE4008 (155.8) sum to settlement amount
REC0049,TXN1049,SET2034;SET2035,,,layer4_one_to_many,No exact amount+merchant match within date window; Settlement group of 2 sums to transaction amount,87,AUTO_MATCHED,Settlement group of 2 sums to transaction amount,Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (one-to-many): Settlement group of 2 sums to transaction amount
REC0050,TXN1050,SET2036;SET2037,,,layer4_one_to_many,No exact amount+merchant match within date window; Settlement group of 2 sums to transaction amount,87,AUTO_MATCHED,Settlement group of 2 sums to transaction amount,Layer 1: No unique deterministic candidate found. | Layer 2: 0 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (one-to-many): Settlement group of 2 sums to transaction amount
REC0051,TXN1051,SET2057,,,layer4_partial_settlement,No exact amount+merchant match within date window; Settlement covers 67% of transaction amount; remainder 3002.00 not yet settled,53.32146829810901,NEEDS_REVIEW,Settlement covers 67% of transaction amount; remainder 3002.00 not yet settled,Layer 1: No unique deterministic candidate found. | Layer 2: 0 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (partial settlement): Settlement covers 67% of transaction amount; remainder 3002.00 not yet settled
REC0052,TXN1052,SET2040;SET2041,,,layer4_one_to_many,No exact amount+merchant match within date window; Settlement group of 2 sums to transaction amount,87,AUTO_MATCHED,Settlement group of 2 sums to transaction amount,Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (one-to-many): Settlement group of 2 sums to transaction amount
REC0053,TXN1053,SET2042;SET2043,,,layer4_one_to_many,No exact amount+merchant match within date window; Settlement group of 2 sums to transaction amount,87,AUTO_MATCHED,Settlement group of 2 sums to transaction amount,Layer 1: No unique deterministic candidate found. | Layer 2: 1 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (one-to-many): Settlement group of 2 sums to transaction amount
REC0054,TXN1054,SET2039,,,layer3_fuzzy,No exact amount+merchant match within date window; Merchant name similarity 100.00; Amount within tight tolerance,87,AUTO_MATCHED,"Unique fuzzy match: name similarity 100.00, amount closely matches.","Layer 1: No unique deterministic candidate found. | Layer 2: 5 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: Unique fuzzy match: name similarity 100.00, amount closely matches."
REC0055,TXN1055,SET2046,REF3001,,layer4_refund_adjusted,No exact amount+merchant match within date window; Transaction minus refund REF3001 (335.0) equals settlement amount,97,AUTO_MATCHED,Transaction minus refund REF3001 (335.0) equals settlement amount,Layer 1: No unique deterministic candidate found. | Layer 2: 0 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (refund-adjusted): Transaction minus refund REF3001 (335.0) equals settlement amount
REC0056,TXN1056,SET2047,REF3002,,layer4_refund_adjusted,No exact amount+merchant match within date window; Transaction minus refund REF3002 (1796.0) equals settlement amount,97,AUTO_MATCHED,Transaction minus refund REF3002 (1796.0) equals settlement amount,Layer 1: No unique deterministic candidate found. | Layer 2: 0 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (refund-adjusted): Transaction minus refund REF3002 (1796.0) equals settlement amount
REC0057,TXN1057,SET2048,REF3003,,layer4_refund_adjusted,No exact amount+merchant match within date window; Transaction minus refund REF3003 (1383.0) equals settlement amount,97,AUTO_MATCHED,Transaction minus refund REF3003 (1383.0) equals settlement amount,Layer 1: No unique deterministic candidate found. | Layer 2: 0 candidate settlement(s) found (amount tolerance + 10-day window) | Layer 3: No sufficiently similar merchant name found among amount-matching candidates. | Layer 4 (refund-adjusted): Transaction minus refund REF3003 (1383.0) equals settlement amount
